GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ME-SEUM Management System,main.repository.impl,ArtefakRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.impl,PemeliharaanRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.impl,UserRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.impl,FeedbackRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.impl,TiketRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.impl,PameranRepositoryImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.interfaces,ITiketService,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.interfaces,IPameranService,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.interfaces,IPemeliharaanService,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.interfaces,IFeedbackService,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main,Main,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.dto,PameranDto,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.dto,TiketDto,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.dto,UserDto,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.dto,FeedbackDto,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.dto,ArtefakDto,42,84,0,0,12,36,2,20,2,20
ME-SEUM Management System,main.ui.views.cleaner,MaintenanceTaskPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.forms,LoginForm,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.forms,FeedbackForm,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.forms,TiketForm,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.forms,ArtefakForm,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.forms,PameranForm,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,QRCodeGenerator,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,SessionManager,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,ValidationUtil,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,DateUtil,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,FileUtil,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,DatabaseUtil,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.utils,EmailUtil,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,UserServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,PemeliharaanServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,ArtefakServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,FeedbackServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,PameranServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.service.impl,TiketServiceImpl,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.entities,User,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.entities,Feedback,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.entities,Artefak,123,87,12,0,18,27,16,18,10,18
ME-SEUM Management System,main.model.entities,Pameran,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.entities,Tiket,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.entities,Pemeliharaan,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.controller,TiketController,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.controller,FeedbackController,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.controller,ManajemenArtefakController,154,0,0,0,39,0,13,0,13,0
ME-SEUM Management System,main.controller,PemeliharaanController,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.controller,PameranController,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.controller,AuthController,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.common,FilterBox,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.common,Footer,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.common,SideBar,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.common,LoadingDialog,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.common,NavigationBar,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.config,DatabaseConfig,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.config,AppConfig,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.enums,UserRole,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.enums,StatusArtefak,5,104,0,12,1,24,0,12,0,6
ME-SEUM Management System,main.model.enums,UserStatus,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.enums,StatusPemeliharaan,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.model.enums,StatusTiket,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,AboutUsPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,YourOrdersPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,HomePage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,CollectionPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,EventPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.customer,TiketPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.tables,PameranTable,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.tables,PemeliharaanTable,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.tables,ArtefakTable,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.tables,FeedbackTable,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.components.tables,TiketTable,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.auth,RegisterPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.auth,LoginPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.interfaces,PemeliharaanInterface,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.interfaces,PameranInterface,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.interfaces,FeedbackInterface,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.interfaces,TiketInterface,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.interfaces,ITiketRepository,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.interfaces,IPemeliharaanRepository,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.interfaces,IFeedbackRepository,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.repository.interfaces,IPameranRepository,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.curator,MaintenanceListPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.curator,EventArtefakPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.curator,FeedbackListPage,3,0,0,0,1,0,1,0,1,0
ME-SEUM Management System,main.ui.views.curator,ArtefakListPage,3,0,0,0,1,0,1,0,1,0
